time,value
2024-07-24T02:11:13.988949373Z,309
2024-07-24T02:11:14.968944868Z,308
2024-07-24T02:11:23.425933111Z,309
2024-07-24T02:11:26.686282003Z,308
2024-07-24T02:11:27.49794857Z,309
2024-07-24T02:11:32.018939012Z,308
2024-07-24T02:11:32.396205721Z,309
2024-07-24T02:11:33.90622131Z,308
2024-07-24T02:11:41.025940325Z,309
2024-07-24T02:11:44.259220305Z,308
2024-07-24T02:11:46.559072207Z,309
2024-07-24T02:11:47.366070525Z,308
2024-07-24T02:11:52.736005194Z,309
2024-07-24T02:11:53.685909922Z,308
2024-07-24T02:12:05.379931021Z,309
2024-07-24T02:12:05.819180202Z,308
2024-07-24T02:12:14.589959985Z,309
2024-07-24T02:12:15.626991902Z,308
2024-07-24T02:12:18.900590489Z,309
2024-07-24T02:12:19.719973719Z,308
2024-07-24T02:12:22.989968471Z,307
2024-07-24T02:12:24.019104368Z,308
2024-07-24T02:12:26.486910824Z,309
2024-07-24T02:12:26.877027654Z,308
2024-07-24T02:12:33.447009482Z,309
2024-07-24T02:12:37.540030087Z,308
2024-07-24T02:12:46.950399183Z,309
2024-07-24T02:12:48.010195977Z,308
2024-07-24T02:12:55.350454919Z,307
2024-07-24T02:12:56.359918108Z,308
2024-07-24T02:12:57.369988337Z,307
2024-07-24T02:12:58.410276017Z,308
2024-07-24T02:13:07.880899838Z,307
2024-07-24T02:13:10.117504634Z,308
2024-07-24T02:13:17.300127631Z,309
2024-07-24T02:13:18.278151841Z,308
2024-07-24T02:13:22.580140194Z,309
2024-07-24T02:13:24.620109011Z,308
2024-07-24T02:13:25.650698528Z,90
2024-07-24T02:13:26.690013073Z,354
2024-07-24T02:13:27.699733136Z,786
2024-07-24T02:13:28.726940719Z,77
2024-07-24T02:13:29.747616672Z,73
2024-07-24T02:13:30.769974843Z,74
2024-07-24T02:13:31.810001778Z,108
2024-07-24T02:13:32.908199089Z,69
2024-07-24T02:13:33.876176809Z,35
2024-07-24T02:13:35.096988328Z,18
2024-07-24T02:13:35.897195759Z,30
2024-07-24T02:13:36.899915931Z,17
2024-07-24T02:13:38.169884946Z,20
2024-07-24T02:13:39.159994537Z,21
2024-07-24T02:13:40.010223293Z,18
2024-07-24T02:13:41.277002078Z,17
2024-07-24T02:13:42.239998866Z,16
2024-07-24T02:13:43.310274848Z,17
2024-07-24T02:13:45.720116634Z,22
2024-07-24T02:13:46.149066114Z,24
2024-07-24T02:13:47.370010138Z,20
2024-07-24T02:13:48.370966326Z,21
2024-07-24T02:13:49.42689159Z,20
2024-07-24T02:13:50.426737611Z,23
2024-07-24T02:13:51.454778629Z,21
2024-07-24T02:13:52.517958741Z,20
2024-07-24T02:13:54.527274125Z,22
2024-07-24T02:13:56.687835344Z,18
2024-07-24T02:13:57.70777695Z,20
2024-07-24T02:13:58.628659081Z,19
2024-07-24T02:13:59.630046557Z,20
2024-07-24T02:14:00.707912659Z,19
2024-07-24T02:14:01.820150053Z,22
2024-07-24T02:14:02.7101404Z,18
2024-07-24T02:14:03.736721311Z,22
2024-07-24T02:14:04.776937837Z,19
2024-07-24T02:14:05.781717633Z,21
2024-07-24T02:14:06.817878653Z,35
2024-07-24T02:14:07.859993005Z,23
2024-07-24T02:14:09.130554112Z,18
2024-07-24T02:14:09.908138627Z,22
2024-07-24T02:14:11.11972216Z,36
2024-07-24T02:14:12.13678125Z,28
2024-07-24T02:14:12.976931123Z,20
2024-07-24T02:14:15.450010926Z,21
2024-07-24T02:14:15.856793252Z,19
2024-07-24T02:14:18.366802579Z,20
2024-07-24T02:14:19.357119535Z,24
2024-07-24T02:14:20.349719887Z,22
2024-07-24T02:14:21.369850449Z,21
2024-07-24T02:14:22.369801514Z,19
2024-07-24T02:14:23.437177796Z,17
2024-07-24T02:14:24.439956702Z,18
2024-07-24T02:14:25.469627769Z,19
2024-07-24T02:14:26.476967941Z,17
2024-07-24T02:14:27.509880214Z,16
2024-07-24T02:14:29.739861641Z,48
2024-07-24T02:14:30.60591284Z,20
2024-07-24T02:14:32.619845379Z,10
2024-07-24T02:14:33.761447126Z,7
2024-07-24T02:14:44.899850305Z,8
2024-07-24T02:14:46.030166125Z,6
2024-07-24T02:14:46.950040264Z,8
2024-07-24T02:14:48.99020934Z,7
2024-07-24T02:14:50.220059253Z,11
2024-07-24T02:14:51.249831874Z,7
2024-07-24T02:14:51.759971665Z,11
2024-07-24T02:14:53.089898823Z,9
2024-07-24T02:14:54.340377523Z,8
2024-07-24T02:14:57.247765462Z,10
2024-07-24T02:14:58.360846018Z,11
2024-07-24T02:14:59.439863606Z,10
2024-07-24T02:15:01.489749015Z,12
2024-07-24T02:15:02.577168101Z,30
2024-07-24T02:15:03.557124562Z,7
2024-07-24T02:15:04.949830895Z,8
2024-07-24T02:15:05.436802835Z,16
2024-07-24T02:15:06.609864001Z,18
2024-07-24T02:15:07.665052741Z,20
2024-07-24T02:15:08.869992411Z,21
2024-07-24T02:15:09.28024934Z,15
2024-07-24T02:15:10.780351993Z,16
2024-07-24T02:15:11.789897688Z,15
2024-07-24T02:15:12.849930548Z,16
2024-07-24T02:15:13.989826513Z,3
2024-07-24T02:15:14.48974412Z,5
2024-07-24T02:15:15.929924331Z,4
2024-07-24T02:15:18.900238395Z,6
2024-07-24T02:15:20.137718765Z,4
2024-07-24T02:15:20.569822418Z,5
2024-07-24T02:15:23.009753635Z,4
2024-07-24T02:15:24.060082541Z,6
2024-07-24T02:15:25.180070185Z,5
2024-07-24T02:15:25.707089557Z,6
2024-07-24T02:15:27.099958091Z,4
2024-07-24T02:15:34.677072332Z,5
2024-07-24T02:15:35.098935673Z,6
2024-07-24T02:15:36.631795567Z,15
2024-07-24T02:15:37.375739146Z,10
2024-07-24T02:15:38.375996085Z,20
2024-07-24T02:15:39.380973744Z,21
2024-07-24T02:15:40.928053995Z,20
2024-07-24T02:15:41.503739332Z,19
2024-07-24T02:15:42.208243464Z,20
2024-07-24T02:15:43.807750684Z,23
2024-07-24T02:15:45.338066852Z,21
2024-07-24T02:15:46.015805539Z,24
2024-07-24T02:15:46.616632847Z,76
2024-07-24T02:15:47.859048198Z,5
2024-07-24T02:15:49.841978512Z,6
2024-07-24T02:15:50.951876087Z,68
2024-07-24T02:15:51.87187837Z,71
2024-07-24T02:15:52.891964845Z,16
2024-07-24T02:15:53.912193548Z,17
2024-07-24T02:15:54.960237328Z,29
2024-07-24T02:15:57.011892023Z,28
2024-07-24T02:15:59.058878306Z,30
2024-07-24T02:16:00.104339856Z,22
2024-07-24T02:16:01.101694455Z,20
2024-07-24T02:16:02.172921785Z,18
2024-07-24T02:16:03.172583486Z,19
2024-07-24T02:16:07.229002321Z,21
2024-07-24T02:16:08.291843736Z,20
2024-07-24T02:16:09.272210813Z,15
2024-07-24T02:16:10.309324436Z,17
2024-07-24T02:16:11.312115647Z,16
2024-07-24T02:16:12.349204187Z,17
2024-07-24T02:16:14.408927598Z,16
2024-07-24T02:16:15.459831579Z,18
2024-07-24T02:16:17.872578289Z,17
2024-07-24T02:16:18.288695716Z,15
2024-07-24T02:16:19.511865899Z,18
2024-07-24T02:16:20.550129756Z,15
2024-07-24T02:16:21.778952328Z,17
2024-07-24T02:16:22.631886742Z,18
2024-07-24T02:16:23.611874794Z,16
2024-07-24T02:16:25.902506875Z,17
2024-07-24T02:16:29.186938089Z,18
2024-07-24T02:16:29.568926723Z,17
2024-07-24T02:16:34.061547595Z,18
2024-07-24T02:16:35.111834502Z,17
2024-07-24T02:16:36.138913076Z,79
2024-07-24T02:16:37.131836201Z,29
2024-07-24T02:16:38.142004559Z,17
2024-07-24T02:16:39.212334461Z,23
2024-07-24T02:16:40.262481038Z,24
2024-07-24T02:16:41.231873273Z,76
2024-07-24T02:16:42.302295475Z,16
2024-07-24T02:16:43.328926951Z,42
2024-07-24T02:16:44.338861752Z,18
2024-07-24T02:16:45.341863914Z,49
2024-07-24T02:16:46.361950401Z,40
2024-07-24T02:16:47.448739381Z,77
2024-07-24T02:16:48.390264526Z,23
2024-07-24T02:16:49.412264182Z,19
2024-07-24T02:16:50.433623578Z,17
2024-07-24T02:16:52.718947591Z,77
2024-07-24T02:16:53.528929003Z,18
2024-07-24T02:16:54.569768875Z,21
2024-07-24T02:16:55.569236128Z,19
2024-07-24T02:16:57.610877185Z,20
2024-07-24T02:16:58.628884253Z,19
2024-07-24T02:16:59.689087401Z,18
2024-07-24T02:17:00.690907209Z,22
2024-07-24T02:17:01.959287801Z,20
2024-07-24T02:17:02.948841684Z,32
2024-07-24T02:17:03.809108704Z,19
2024-07-24T02:17:05.012901883Z,76
2024-07-24T02:17:06.008924786Z,20
2024-07-24T02:17:07.051904378Z,19
2024-07-24T02:17:08.092345741Z,77
2024-07-24T02:17:09.091944909Z,16
2024-07-24T02:17:11.541859064Z,19
2024-07-24T02:17:13.181674856Z,17
2024-07-24T02:17:14.21184252Z,16
2024-07-24T02:17:15.250956259Z,18
